BioID;TmID;Played;Started;Minutes;Points;Attempts;Made
anthoca01;NYK;27;27;977;711;188;164
anderry01;ORL;64;14;1424;681;117;95
anderda03;NOH;29;0;223;78;15;7
anderch01;DEN;45;0;732;250;135;86
amundlo01;GSW;46;7;691;200;87;34
allento01;MEM;72;31;1494;643;182;137
allenra02;BOS;80;80;2890;1321;219;193
aldrila01;POR;81;81;3211;1769;444;351
allenma01;ORL;18;0;178;23;2;1
ajincal01;TOR;24;0;265;114;15;11
agerma01;MIN;4;0;29;15;0;0
afflaar01;DEN;69;69;2324;867;163;138
